model,LS,MAE,date,horizon,place,forecast_date
resample_80_last_10,-0.1054,74.0000,2020-06-06,6.0000,VA,2020-05-31
resample_80_last_10,-0.1054,4.0000,2020-06-06,6.0000,AR,2020-05-31
resample_80_last_10,-0.1054,9.0000,2020-06-06,6.0000,KY,2020-05-31
resample_80_last_10,-0.1054,1.0000,2020-06-06,6.0000,ME,2020-05-31
resample_80_last_10,-0.1054,1.0000,2020-06-06,6.0000,MI,2020-05-31
resample_80_last_10,-0.1054,0.0000,2020-06-06,6.0000,AK,2020-05-31
resample_80_last_10,-0.1054,91.0000,2020-06-06,6.0000,IL,2020-05-31
resample_80_last_10,-0.1054,34.0000,2020-06-06,6.0000,IN,2020-05-31
resample_80_last_10,-0.1054,2.0000,2020-06-06,6.0000,MO,2020-05-31
resample_80_last_10,-0.1054,39.0000,2020-06-06,6.0000,NC,2020-05-31
resample_80_last_10,-0.1054,7.0000,2020-06-06,6.0000,DC,2020-05-31
resample_80_last_10,-0.1054,5.0000,2020-06-06,6.0000,ND,2020-05-31
resample_80_last_10,-0.1054,0.0000,2020-06-06,6.0000,VT,2020-05-31
resample_80_last_10,-0.1054,2.0000,2020-06-06,6.0000,ID,2020-05-31
resample_80_last_10,-0.1054,0.0000,2020-06-06,6.0000,OK,2020-05-31
resample_80_last_10,-0.1054,27.0000,2020-06-06,6.0000,AZ,2020-05-31
resample_80_last_10,-0.1054,1.0000,2020-06-06,6.0000,IA,2020-05-31
resample_80_last_10,-0.1054,4.0000,2020-06-06,6.0000,NV,2020-05-31
resample_80_last_10,-0.1054,0.0000,2020-06-06,6.0000,HI,2020-05-31
resample_80_last_10,-0.1054,17.0000,2020-06-06,6.0000,MD,2020-05-31
resample_80_last_10,-0.1054,102.0000,2020-06-06,6.0000,NY,2020-05-31
resample_80_last_10,-0.1054,32.0000,2020-06-06,6.0000,TN,2020-05-31
resample_80_last_10,-0.1054,48.0000,2020-06-06,6.0000,LA,2020-05-31
resample_80_last_10,-0.1054,10.0000,2020-06-06,6.0000,WA,2020-05-31
